rank,feature_index,feature_name,importance_score
838,499,feature_499,0.0005634101
839,84,feature_84,0.00056241686
840,618,feature_618,0.0005622209
841,547,feature_547,0.000561556
842,393,feature_393,0.0005615535
843,587,feature_587,0.0005589716
844,1011,feature_1011,0.0005582441
845,415,feature_415,0.00055375183
846,157,feature_157,0.0005507054
847,520,feature_520,0.0005505678
848,372,feature_372,0.0005504126
849,268,feature_268,0.0005487442
850,716,feature_716,0.00054635113
851,414,feature_414,0.0005435533
852,577,feature_577,0.0005411577
853,331,feature_331,0.0005406796
854,717,feature_717,0.0005395812
855,425,feature_425,0.0005389325
856,550,feature_550,0.0005372038
857,687,feature_687,0.0005350582
858,739,feature_739,0.0005349052
859,526,feature_526,0.0005345245
860,698,feature_698,0.0005315909
861,569,feature_569,0.00052534713
862,21,feature_21,0.0005239027
863,740,feature_740,0.0005213667
864,426,feature_426,0.0005203742
865,749,feature_749,0.0005190311
866,751,feature_751,0.0005172903
867,7,feature_7,0.0005155088
868,619,feature_619,0.00051504077
869,168,feature_168,0.00051421125
870,387,feature_387,0.0005135538
871,724,feature_724,0.0005114032
872,352,feature_352,0.0005109087
