feature,ks_statistic,wasserstein_dist
f813,0.02176,0.07334408047556873
f513,0.021740000000000093,0.06628167258143423
f792,0.02173999999999998,0.06431384398937226
f152,0.021720000000000073,0.06353367040514946
f560,0.021680000000000033,0.05255155165076251
f75,0.021620000000000028,0.06199330857038501
f636,0.021600000000000008,0.05677211329340932
f7,0.021519999999999984,0.06006858946204178
f650,0.02148,0.06113633288860323
f265,0.021460000000000035,0.06822037398219113
f657,0.021419999999999995,0.06883887771844861
f374,0.021399999999999975,0.05555256350517272
f500,0.02133999999999997,0.08166164283394814
f118,0.021320000000000006,0.06696344327211379
f278,0.021320000000000006,0.05730445375084878
f64,0.021300000000000013,0.0498856386911869
f149,0.021279999999999993,0.04917935931324955
f912,0.021260000000000057,0.07383834356904034
f143,0.02121999999999996,0.07806759169697758
f262,0.021199999999999997,0.0703133137369156
f690,0.021180000000000032,0.07353975298404689
f42,0.021160000000000068,0.04997372130990027
f426,0.021139999999999937,0.05285316777110104
f376,0.021120000000000028,0.05641563300013539
f52,0.021100000000000008,0.06673023712158205
f414,0.021079999999999988,0.07279622019529342
f535,0.021060000000000023,0.05447998358607294
f404,0.02098,0.0659582265532017
f56,0.02093999999999996,0.06892286032199857
f512,0.02090000000000003,0.06340227222681041
f104,0.020879999999999982,0.062320873956680255
f748,0.020820000000000005,0.0587006560111046
f176,0.02080000000000004,0.06418198531627653
f81,0.020799999999999985,0.043274458029270185
f946,0.02078000000000002,0.06371084782242777
f903,0.02072000000000007,0.04772626276373864
f718,0.02070000000000005,0.05997334311842918
f635,0.02067999999999992,0.046038393396139174
f515,0.020640000000000047,0.06907292958855629
f296,0.020580000000000043,0.06014476126432418
f373,0.020579999999999987,0.06055476769924164
f433,0.020499999999999963,0.0681656090629101
f382,0.020479999999999943,0.05168095938920976
f61,0.02040000000000003,0.05712320685029031
f682,0.02038000000000001,0.05599394224405287
f474,0.020360000000000045,0.06027902785778046
f166,0.020320000000000005,0.04753923442721365
f536,0.02026,0.0524028036534786
f709,0.020259999999999945,0.045691497789621296
f562,0.020259999999999945,0.0493803436267376
f394,0.020240000000000036,0.05142678639888763
f553,0.02023999999999998,0.07177609509468079
f689,0.020200000000000023,0.05725242258071902
f936,0.020199999999999996,0.06267924952864644
f450,0.020120000000000027,0.05917596835017201
f825,0.020079999999999987,0.06996072950959203
f971,0.020079999999999987,0.05943808446049689
f514,0.020060000000000022,0.067232616904974
f33,0.020039999999999947,0.05180086828827857
f478,0.020039999999999947,0.06160812587618827
f72,0.020020000000000038,0.056619032391309734
f271,0.020020000000000038,0.0451628185141087
f353,0.020020000000000038,0.06421736177802084
f66,0.020000000000000018,0.05415584164500234
f487,0.019979999999999998,0.0609688912200928
f960,0.019979999999999998,0.06935392126798628
f203,0.01990000000000003,0.05615830370426175
f527,0.01988000000000001,0.05739859459519383
f254,0.019839999999999997,0.05791012062311168
f67,0.01979999999999993,0.06881841273188588
f564,0.01978000000000002,0.05638212336540225
f411,0.01974000000000009,0.04813308260440829
f243,0.019700000000000023,0.055331265261173226
f692,0.01969999999999994,0.06749725966095921
f95,0.01966000000000001,0.051505502668619155
f437,0.01966000000000001,0.05819609200119967
f630,0.0196599999999999,0.057286910829544055
f245,0.01963999999999999,0.0406039155519009
f57,0.019620000000000082,0.06034506126523019
f595,0.019580000000000014,0.05492033120393754
f119,0.019560000000000022,0.054752016185522084
f250,0.019460000000000033,0.05184946401000021
f468,0.019440000000000013,0.04870896607041361
f652,0.019380000000000064,0.055719763798713705
f783,0.01938000000000001,0.054649217190742505
f873,0.019320000000000004,0.05143156604766846
